-1.884 -2.365 -1.417
-3.498 -1.874 -3.757
-0.608 -3.109 -2.685
-1.488 -1.175 -1.857
-3.357 -1.237 -2.462
-0.795 -0.875 -0.765
-1.215 -1.394 +0.400
-3.053 -2.494 -2.751
-1.013 -1.821 -1.425
-1.426 -2.280 -0.378
-1.829 -3.059 -3.957
-3.000 -2.596 -1.937
-3.235 -2.047 -3.513
-2.937 -1.693 -1.822
-0.149 -3.103 -3.583
-0.568 -1.702 -0.780
-3.079 -3.848 -1.276
-2.720 -0.797 -2.391
-0.346 -2.186 -1.731
-1.534 -1.806 -3.007
+1.476 +0.610 +1.740
+2.606 +2.336 +1.418
+0.946 +1.503 +1.436
+1.756 +1.744 +2.775
+1.007 +1.827 +1.740
+2.926 +1.598 +1.596
+0.964 +2.289 +3.561
+1.951 +1.568 +3.209
+2.502 +2.639 +2.078
+1.840 +0.848 +2.612
+0.600 +2.411 +2.325
+3.359 +2.410 +0.953
+3.164 +0.871 +1.633
+3.543 +3.315 +1.734
+1.415 +2.081 +2.378
+2.551 +1.666 +1.836
+3.497 +1.408 +2.963
+2.791 +1.633 +1.193
-0.255 +1.606 +1.350
+2.949 +1.524 +2.984
