0,3.80045,15,4.59603,1.2088
1,1.7681,5,4.51426,1.19687
2,3.29663,1,3.16526,1.26748
3,3.28387,5,4.51426,1.19687
4,3.85199,15,4.59603,1.2088
5,5.85619,12,5.38603,1.22398
6,4.97418,7,4.43208,5.74635
7,4.72247,9,5.1986,0.724538
8,5.38463,16,5.13084,1.16665
9,3.51625,2,5.39619,2.50002
10,2.383,2,5.39619,2.50002
11,2.67904,4,3.99394,2.86438
12,5.2555,14,4.96532,0.748093
13,3.29762,4,3.99394,2.86438
14,3.04529,0,6.43336,4.12436
15,3.37317,7,4.43208,5.74635
16,2.21202,1,3.16526,1.26748
17,2.99092,10,4.14015,1.59538
18,3.47698,11,-0.550719,11.5164
19,2.45071,1,3.16526,1.26748
20,5.40893,9,5.1986,0.724538
21,9.29336,13,5.99406,1.07291
22,6.87666,7,4.43208,5.74635
23,8.2261,11,-0.550719,11.5164
24,8.75241,2,5.39619,2.50002
25,3.80545,17,4.72846,0.6954
26,6.37416,3,5.50564,0.365331
27,5.31774,14,4.96532,0.748093
28,7.11085,18,5.81025,0.867917
29,5.56817,19,5.12419,0.515362
30,4.79593,20,4.69846,0.365016
31,5.83775,6,5.66401,0.451554
32,5.88022,21,4.02013,1.47659
33,6.7202,2,5.39619,2.50002
34,6.61676,5,4.51426,1.19687
35,5.47084,9,5.1986,0.724538
36,6.70024,2,5.39619,2.50002
37,7.40653,8,4.76837,9.52504
38,5.28438,17,4.72846,0.6954
39,6.24023,15,4.59603,1.2088
